millis,Back Left, Back Right, Front Left, Front Right
2448, -1.92, 0.03, 0.00, -0.01
2482, -3.29, -0.12, -0.05, -0.05
2489, -5.34, -0.18, -0.05, -0.05
2495, -5.34, -0.18, -0.03, -0.04
2500, -9.18, -0.23, -0.03, -0.04
2506, -9.18, -0.23, 0.01, -0.03
2511, -11.37, -0.40, 0.01, -0.03
2516, -11.37, -0.40, 0.00, -0.08
2523, -14.11, -0.59, 0.00, -0.08
2528, -14.11, -0.59, -0.07, -0.15
2534, -23.70, -0.59, -0.07, -0.15
2539, -23.70, -0.59, -0.16, -0.14
2545, -29.59, -0.56, -0.16, -0.14
2550, -29.59, -0.56, -0.12, -0.11
2560, -31.78, -0.42, -0.12, -0.05
2566, -32.47, -0.42, -0.18, -0.05
2571, -32.47, -0.34, -0.18, -0.10
2577, -36.44, -0.34, -0.26, -0.10
2582, -36.44, -0.44, -0.26, 0.03
2588, -39.04, -0.44, -0.20, 0.03
2593, -39.04, -0.60, -0.20, -0.03
2599, -36.71, -0.60, -0.20, -0.03
2605, -36.71, -0.74, -0.20, -0.03
2611, -35.48, -0.74, -0.14, -0.03
2616, -35.48, -0.79, -0.14, 0.04
2622, -34.79, -0.79, -0.08, 0.04
2627, -34.79, -0.89, -0.08, 0.20
2632, -33.29, -0.89, 0.01, 0.20
2638, -33.29, -0.82, 0.01, 0.20
2647, -32.47, -0.82, 0.12, 0.20
2653, -32.47, -0.72, 0.05, 0.20
2658, -31.37, -0.72, 0.05, 0.20
2664, -31.37, -0.70, -0.04, 0.30
2669, -24.11, -0.70, -0.04, 0.30
2675, -24.11, -0.68, -0.11, 0.34
2680, -19.86, -0.68, -0.11, 0.34
2685, -19.86, -0.64, 0.01, 0.30
2692, -16.71, -0.64, 0.01, 0.30
2697, -16.71, -0.65, 0.01, 0.23
2703, -12.60, -0.65, 0.01, 0.23
2708, -12.60, -0.64, -0.04, 0.16
2714, -8.22, -0.64, -0.04, 0.16
2719, -8.22, -0.64, -0.12, 0.18
2724, -5.62, -0.45, -0.12, 0.18
2734, -5.62, -0.26, 0.00, 0.15
2739, -2.19, -0.26, 0.00, 0.15
2744, -2.19, -0.26, 0.12, 0.07
2749, -2.19, -0.26, 0.12, 0.07
2755, -2.19, -0.38, 0.14, -0.03
2760, 0.14, -0.38, 0.14, -0.03
2765, 0.14, -0.38, 0.14, -0.14
2771, 6.30, -0.53, 0.14, -0.14
2777, 6.30, -0.53, 0.20, -0.12
2782, 8.63, -0.75, 0.20, -0.12
2788, 8.63, -0.75, 0.16, -0.14
2793, 9.86, -0.85, 0.16, -0.14
2798, 9.86, -0.85, 0.16, -0.11
2804, 10.14, -0.72, 0.16, -0.11
2809, 10.14, -0.72, 0.12, -0.20
2814, 9.18, -0.53, 0.12, -0.20
2823, 9.18, -0.53, 0.14, -0.34
2829, 9.59, -0.44, 0.14, -0.34
2834, 9.59, -0.44, 0.12, -0.49
2839, 10.55, -0.34, 0.12, -0.49
2845, 10.55, -0.34, 0.11, -0.44
